Scenario,Species,Region,Inventory Sector,CEDS Fuel,GAINS Sector,Sectoral Emissions Fraction,2000,2005,2010,2015,2020,2030,2050
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,process,IN_BO_OTH-GAS-[PJ],0.10552314739352685,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,process,IN_BO_OTH-HF-[PJ],0.003989330141785575,0.00064,0.00064,0.00064,0.00064,0.00064,0.00064,0.00064
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,process,IN_BO_PAP-GAS-[PJ],0.012059470128597842,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,process,IN_BO_CHEM-OS1-[PJ],1.0119664654734699e-07,0.005,0.005,0.005,0.005,0.005,0.005,0.005
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,process,IN_BO_OTH-OS1-[PJ],0.6769961892226632,0.005,0.005,0.005,0.005,0.005,0.005,0.005
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,process,IN_BO_OTH-OS2-[PJ],1.7967567856365694e-09,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,process,IN_BO_PAP-OS1-[PJ],6.574339962769821e-08,0.005,0.005,0.005,0.005,0.005,0.005,0.005
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,process,IN_BO_CON-HC1-[PJ],9.431252093188121e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,process,IN_BO_OTH_L-HC1-[PJ],5.5073004923726255e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,process,IN_BO_PAP-HC1-[PJ],4.2337372535114565e-11,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,solid-biofuel,IN_OC-OS1-[PJ],1.0,0.005,0.005,0.005,0.005,0.005,0.005,0.005
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,total-coal,IN_OC-DC-[PJ],0.9587294461781295,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,total-coal,IN_OC-HC1-[PJ],0.041270553821870504,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Non-road transport,liquid-fuel-plus-natural-gas,TRA_OT_INW-MD-[PJ],1.0,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Other,liquid-fuel-plus-natural-gas,TRA_OT_AGR-LPG-[PJ],0.0271480949210109,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Other,liquid-fuel-plus-natural-gas,TRA_OT_AGR-MD-[PJ],0.25795983443155834,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Other,liquid-fuel-plus-natural-gas,TRA_OT_CNS-GAS-[PJ],0.0013290585972092345,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Other,liquid-fuel-plus-natural-gas,TRA_OT_CNS-GSL-[PJ],0.05151912106596766,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Other,liquid-fuel-plus-natural-gas,TRA_OT_CNS-LPG-[PJ],0.024228419621660103,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Other,liquid-fuel-plus-natural-gas,TRA_OT_CNS-MD-[PJ],0.00388857790979473,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Other,liquid-fuel-plus-natural-gas,TRA_OT_LB-GAS-[PJ],0.6339268934527991,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Residential,liquid-fuel-plus-natural-gas,DOM-GAS-[PJ],0.719255342351135,0.00022999999999999998,0.00022999999999999998,0.00022999999999999998,0.00022999999999999998,0.00022999999999999998,0.00022999999999999998,0.00022999999999999998
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Residential,liquid-fuel-plus-natural-gas,DOM-GSL-[PJ],0.0014233570262112637,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Residential,liquid-fuel-plus-natural-gas,DOM-HF-[PJ],0.008985665517488743,0.00098,0.00098,0.00098,0.00098,0.00098,0.00098,0.00098
