Species,Sector,Region,Fuel,2014_Proportion
ALK4_butanes,ALK4_butanes_rcoc,MEX,process,0.0
ALK4_butanes,ALK4_butanes_rcoc,JPN,process,0.0
ALK4_butanes,ALK4_butanes_rcoc,ANZ,process,0.0
ALK4_butanes,ALK4_butanes_rcoc,EUR,process,0.0
ALK4_butanes,ALK4_butanes_rcoc,ROE,process,0.0
ALK4_butanes,ALK4_butanes_rcoc,RUS,process,0.0
ALK4_butanes,ALK4_butanes_rcoc,ASI,process,0.0
ALK4_butanes,ALK4_butanes_rcoc,CHN,process,0.0
ALK4_butanes,ALK4_butanes_rcoc,IND,process,0.0
ALK4_butanes,ALK4_butanes_rcoc,BRA,process,0.0
ALK4_butanes,ALK4_butanes_rcoc,AFR,process,0.0
ALK4_butanes,ALK4_butanes_rcoc,MES,process,0.0
ALK4_butanes,ALK4_butanes_rcoc,LAM,process,0.0
ALK4_butanes,ALK4_butanes_rcoc,REA,process,0.0
ALK4_butanes,ALK4_butanes_rcoc,KOR,process,0.0
ALK4_butanes,ALK4_butanes_rcoc,IDZ,process,0.0
ALK4_butanes,ALK4_butanes_ene,USA,process,0.9927329257471268
ALK4_butanes,ALK4_butanes_ene,CAN,process,0.9615863081477578
ALK4_butanes,ALK4_butanes_ene,MEX,process,0.9706482820317556
ALK4_butanes,ALK4_butanes_ene,JPN,process,0.8569113504486121
ALK4_butanes,ALK4_butanes_ene,ANZ,process,0.9513280237916363
ALK4_butanes,ALK4_butanes_ene,EUR,process,0.9513924034678082
ALK4_butanes,ALK4_butanes_ene,ROE,process,0.9661224429894315
ALK4_butanes,ALK4_butanes_ene,RUS,process,0.941382336468318
ALK4_butanes,ALK4_butanes_ene,ASI,process,0.98472610356897
ALK4_butanes,ALK4_butanes_ene,CHN,process,0.9964001395862735
ALK4_butanes,ALK4_butanes_ene,IND,process,0.9707771852646163
ALK4_butanes,ALK4_butanes_ene,BRA,process,0.9968127239327497
ALK4_butanes,ALK4_butanes_ene,AFR,process,0.999516692924936
ALK4_butanes,ALK4_butanes_ene,MES,process,0.9927464231064159
ALK4_butanes,ALK4_butanes_ene,LAM,process,0.9947323173791324
ALK4_butanes,ALK4_butanes_ene,REA,process,0.9946112784781347
ALK4_butanes,ALK4_butanes_ene,KOR,process,0.9526388456480352
ALK4_butanes,ALK4_butanes_ene,IDZ,process,0.9923955824799857
ALK4_butanes,ALK4_butanes_ind,USA,process,0.76431695241219
ALK4_butanes,ALK4_butanes_ind,CAN,process,0.43241546346072235
ALK4_butanes,ALK4_butanes_ind,MEX,process,0.557567206690883
ALK4_butanes,ALK4_butanes_ind,JPN,process,0.598800147253116
ALK4_butanes,ALK4_butanes_ind,ANZ,process,0.5065770315198994
ALK4_butanes,ALK4_butanes_ind,EUR,process,0.8388444955327499
ALK4_butanes,ALK4_butanes_ind,ROE,process,0.49671322746586544
ALK4_butanes,ALK4_butanes_ind,RUS,process,0.4886379758949216
ALK4_butanes,ALK4_butanes_ind,ASI,process,0.5597555019689842
ALK4_butanes,ALK4_butanes_ind,CHN,process,0.36084370232843055
ALK4_butanes,ALK4_butanes_ind,IND,process,0.1962470502926675
ALK4_butanes,ALK4_butanes_ind,BRA,process,0.2123900699656978
ALK4_butanes,ALK4_butanes_ind,AFR,process,0.15513191752497846
ALK4_butanes,ALK4_butanes_ind,MES,process,0.5034346171324764
ALK4_butanes,ALK4_butanes_ind,LAM,process,0.31783419089750287
ALK4_butanes,ALK4_butanes_ind,REA,process,0.07937005329706254
ALK4_butanes,ALK4_butanes_ind,KOR,process,0.957010840567611
ALK4_butanes,ALK4_butanes_ind,IDZ,process,0.37370458991716726
ALK4_butanes,ALK4_butanes_nrtr,USA,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,CAN,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,MEX,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,JPN,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,ANZ,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,EUR,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,ROE,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,RUS,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,ASI,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,CHN,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,IND,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,BRA,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,AFR,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,MES,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,LAM,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,REA,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,KOR,process,0.0
ALK4_butanes,ALK4_butanes_nrtr,IDZ,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,USA,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,CAN,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,MEX,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,JPN,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,ANZ,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,EUR,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,ROE,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,RUS,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,ASI,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,CHN,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,IND,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,BRA,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,AFR,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,MES,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,LAM,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,REA,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,KOR,process,0.0
ALK4_butanes,ALK4_butanes_rcoo,IDZ,process,0.0
ALK4_butanes,ALK4_butanes_rcor,USA,process,0.0
ALK4_butanes,ALK4_butanes_rcor,CAN,process,0.0
ALK4_butanes,ALK4_butanes_rcor,MEX,process,0.0
ALK4_butanes,ALK4_butanes_rcor,JPN,process,0.0
ALK4_butanes,ALK4_butanes_rcor,ANZ,process,0.0
ALK4_butanes,ALK4_butanes_rcor,EUR,process,0.0
ALK4_butanes,ALK4_butanes_rcor,ROE,process,0.0
ALK4_butanes,ALK4_butanes_rcor,RUS,process,0.0
ALK4_butanes,ALK4_butanes_rcor,ASI,process,0.0
ALK4_butanes,ALK4_butanes_rcor,CHN,process,0.0
ALK4_butanes,ALK4_butanes_rcor,IND,process,0.0
ALK4_butanes,ALK4_butanes_rcor,BRA,process,0.0
ALK4_butanes,ALK4_butanes_rcor,AFR,process,0.0
ALK4_butanes,ALK4_butanes_rcor,MES,process,0.0
ALK4_butanes,ALK4_butanes_rcor,LAM,process,0.0
ALK4_butanes,ALK4_butanes_rcor,REA,process,0.0
ALK4_butanes,ALK4_butanes_rcor,KOR,process,0.0
ALK4_butanes,ALK4_butanes_rcor,IDZ,process,0.0
ALK4_butanes,ALK4_butanes_shp,USA,process,1.0
ALK4_butanes,ALK4_butanes_shp,CAN,process,1.0
ALK4_butanes,ALK4_butanes_shp,MEX,process,1.0
ALK4_butanes,ALK4_butanes_shp,JPN,process,1.0
ALK4_butanes,ALK4_butanes_shp,ANZ,process,1.0
ALK4_butanes,ALK4_butanes_shp,EUR,process,1.0
ALK4_butanes,ALK4_butanes_shp,ROE,process,1.0
ALK4_butanes,ALK4_butanes_shp,RUS,process,1.0
ALK4_butanes,ALK4_butanes_shp,ASI,process,1.0
ALK4_butanes,ALK4_butanes_shp,CHN,process,1.0
ALK4_butanes,ALK4_butanes_shp,IND,process,1.0
ALK4_butanes,ALK4_butanes_shp,BRA,process,1.0
ALK4_butanes,ALK4_butanes_shp,AFR,process,1.0
ALK4_butanes,ALK4_butanes_shp,MES,process,1.0
ALK4_butanes,ALK4_butanes_shp,LAM,process,1.0
ALK4_butanes,ALK4_butanes_shp,REA,process,1.0
ALK4_butanes,ALK4_butanes_shp,KOR,process,1.0
ALK4_butanes,ALK4_butanes_shp,IDZ,process,1.0
ALK4_butanes,ALK4_butanes_slv,USA,process,0.0
ALK4_butanes,ALK4_butanes_slv,CAN,process,0.0
ALK4_butanes,ALK4_butanes_slv,MEX,process,0.0
