Species,Fuel,Sector,Region,2014
ALD2,total-coal,ALD2_road,MES,0.0
ALD2,total-coal,ALD2_road,LAM,0.0
ALD2,total-coal,ALD2_road,REA,0.0
ALD2,total-coal,ALD2_road,KOR,0.0
ALD2,total-coal,ALD2_road,IDZ,0.0
ALD2,total-coal,ALD2_shp,USA,0.0
ALD2,total-coal,ALD2_shp,CAN,0.0
ALD2,total-coal,ALD2_shp,MEX,0.0
ALD2,total-coal,ALD2_shp,JPN,0.0
ALD2,total-coal,ALD2_shp,ANZ,0.0
ALD2,total-coal,ALD2_shp,EUR,0.0
ALD2,total-coal,ALD2_shp,ROE,0.0
ALD2,total-coal,ALD2_shp,RUS,0.0
ALD2,total-coal,ALD2_shp,ASI,0.0
ALD2,total-coal,ALD2_shp,CHN,0.0
ALD2,total-coal,ALD2_shp,IND,0.0
ALD2,total-coal,ALD2_shp,BRA,0.0
ALD2,total-coal,ALD2_shp,AFR,0.0
ALD2,total-coal,ALD2_shp,MES,0.0
ALD2,total-coal,ALD2_shp,LAM,0.0
ALD2,total-coal,ALD2_shp,REA,0.0
ALD2,total-coal,ALD2_shp,KOR,0.0
ALD2,total-coal,ALD2_shp,IDZ,0.0
ALD2,total-coal,ALD2_slv,USA,0.0
ALD2,total-coal,ALD2_slv,CAN,0.0
ALD2,total-coal,ALD2_slv,MEX,0.0
ALD2,total-coal,ALD2_slv,JPN,0.0
ALD2,total-coal,ALD2_slv,ANZ,0.0
ALD2,total-coal,ALD2_slv,EUR,0.0
ALD2,total-coal,ALD2_slv,ROE,0.0
ALD2,total-coal,ALD2_slv,RUS,0.0
ALD2,total-coal,ALD2_slv,ASI,0.0
ALD2,total-coal,ALD2_slv,CHN,0.0
ALD2,total-coal,ALD2_slv,IND,0.0
ALD2,total-coal,ALD2_slv,BRA,0.0
ALD2,total-coal,ALD2_slv,AFR,0.0
ALD2,total-coal,ALD2_slv,MES,0.0
ALD2,total-coal,ALD2_slv,LAM,0.0
ALD2,total-coal,ALD2_slv,REA,0.0
ALD2,total-coal,ALD2_slv,KOR,0.0
