Scenario,Species,Region,Inventory Sector,CEDS Fuel,2000,2005,2010,2015,2020,2030,2050
WEO2018_NPS_CLE_CH4b,SO2,ASI,Agriculture,process,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,ASI,Commercial,solid-biofuel,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,ASI,Commercial,total-coal,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,ASI,Energy,liquid-fuel-plus-natural-gas,1.4953560928940186,1.4199598021096453,1.0151534296993037,0.9962116425751741,0.6572275126667881,0.6825705286687699,1.537037512579507
WEO2018_NPS_CLE_CH4b,SO2,ASI,Energy,process,1.0901767470389159,0.9846043300344745,0.9975785835796016,1.0006053541050997,0.9188053397459198,0.9215720005331063,0.9357024082178594
WEO2018_NPS_CLE_CH4b,SO2,ASI,Energy,solid-biofuel,1.153625175400337,1.0689495738284125,0.9916963663537559,1.0020759084115611,0.8073938072404774,0.80230693942645,0.7929128922461733
WEO2018_NPS_CLE_CH4b,SO2,ASI,Energy,total-coal,3.7509586020049603,2.2158988413970047,1.4012757435493624,0.8996810641126594,1.0140289503431994,0.94852459607053,0.892839728485353
WEO2018_NPS_CLE_CH4b,SO2,ASI,Industry,liquid-fuel-plus-natural-gas,2.6671837062262758,2.1161019281486837,1.4811737907335811,0.8797065523166048,1.008365112672784,0.9470971286595254,0.9282088831537096
WEO2018_NPS_CLE_CH4b,SO2,ASI,Industry,process,0.8457219721829327,1.0098780296679157,1.023160188970001,0.9942099527574998,0.9856740409333766,0.9938119768176715,1.004136264823935
WEO2018_NPS_CLE_CH4b,SO2,ASI,Industry,solid-biofuel,0.9521112138588357,0.9466072620372371,0.9431978459532858,1.0142005385116786,0.9427185135668207,0.9430210297355888,0.9433885579195229
WEO2018_NPS_CLE_CH4b,SO2,ASI,Industry,total-coal,1.8112118898291667,1.8306770265819028,1.2010514103336956,0.9497371474165761,0.8323086265559563,0.8552140796007212,0.9101957690760202
WEO2018_NPS_CLE_CH4b,SO2,ASI,Non-road transport,liquid-fuel-plus-natural-gas,2.074737231401929,1.6574088026666758,1.135765315619619,0.9660586710950952,0.6408205370950647,0.7329471429300548,0.7317147016574078
WEO2018_NPS_CLE_CH4b,SO2,ASI,Non-road transport,total-coal,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,ASI,Other,liquid-fuel-plus-natural-gas,2.090490383949616,1.7244776065731717,1.1354309549213204,0.9661422612696698,0.6824002797243298,0.7661409487826505,0.7650699141895645
WEO2018_NPS_CLE_CH4b,SO2,ASI,Residential,liquid-fuel-plus-natural-gas,2.78117082519355,2.287997420515472,1.1151181014199876,0.9712204746450032,1.7228883679882598,1.7320582350256728,1.5195452340186628
WEO2018_NPS_CLE_CH4b,SO2,ASI,Residential,solid-biofuel,0.9994133478044915,0.9924184603348444,0.9978946642549291,1.0005263339362678,0.9995054812079379,1.0040929145479345,1.0152517866239048
