Species,Region,Sector,2014
C2H2,BRA,Agricultural Waste Burning,0.003352203756334581
C2H2,AFR,Agricultural Waste Burning,0.020538966526596557
C2H2,MES,Agricultural Waste Burning,0.00010642309986726072
C2H2,LAM,Agricultural Waste Burning,0.0032872950613976547
C2H2,REA,Agricultural Waste Burning,0.002912430243421875
C2H2,KOR,Agricultural Waste Burning,7.086647613027798e-05
C2H2,IDZ,Agricultural Waste Burning,0.000960382737573236
C2H4,USA,Agricultural Waste Burning,0.009036737927155128
C2H4,CAN,Agricultural Waste Burning,0.0041464711511550985
C2H4,MEX,Agricultural Waste Burning,0.0050565481172292195
C2H4,JPN,Agricultural Waste Burning,0.0008904114102417021
C2H4,ANZ,Agricultural Waste Burning,0.005804620275734203
C2H4,EUR,Agricultural Waste Burning,0.0076169034391997134
C2H4,ROE,Agricultural Waste Burning,0.029834072166418982
C2H4,RUS,Agricultural Waste Burning,0.09674110055633989
C2H4,ASI,Agricultural Waste Burning,0.01024922661447471
C2H4,CHN,Agricultural Waste Burning,0.04544235509758521
C2H4,IND,Agricultural Waste Burning,0.01181136844145058
C2H4,BRA,Agricultural Waste Burning,0.018126731176102737
C2H4,AFR,Agricultural Waste Burning,0.11106255838526786
C2H4,MES,Agricultural Waste Burning,0.0005754730521363331
C2H4,LAM,Agricultural Waste Burning,0.017775743388118798
C2H4,REA,Agricultural Waste Burning,0.01574869674942284
C2H4,KOR,Agricultural Waste Burning,0.0003832039030309057
C2H4,IDZ,Agricultural Waste Burning,0.005193180668477456
C2H6,USA,Agricultural Waste Burning,0.005632487354047855
C2H6,CAN,Agricultural Waste Burning,0.0025844443636188082
C2H6,MEX,Agricultural Waste Burning,0.003151684103115074
C2H6,JPN,Agricultural Waste Burning,0.0005549824515709904
C2H6,ANZ,Agricultural Waste Burning,0.003617948265687199
C2H6,EUR,Agricultural Waste Burning,0.004747522008988118
C2H6,ROE,Agricultural Waste Burning,0.01859520941098983
C2H6,RUS,Agricultural Waste Burning,0.060297535400508466
C2H6,ASI,Agricultural Waste Burning,0.006388216636340907
C2H6,CHN,Agricultural Waste Burning,0.028323659778391526
C2H6,IND,Agricultural Waste Burning,0.007361880313348845
C2H6,BRA,Agricultural Waste Burning,0.011298168126740718
C2H6,AFR,Agricultural Waste Burning,0.06922392352988661
C2H6,MES,Agricultural Waste Burning,0.00035868525925330657
C2H6,LAM,Agricultural Waste Burning,0.011079401713124241
C2H6,REA,Agricultural Waste Burning,0.009815968478448778
C2H6,KOR,Agricultural Waste Burning,0.00023884626901006108
C2H6,IDZ,Agricultural Waste Burning,0.0032368454836959053
C3H8,USA,Agricultural Waste Burning,0.0017330729798627053
C3H8,CAN,Agricultural Waste Burning,0.0007952136307914954
C3H8,MEX,Agricultural Waste Burning,0.0009697489307187948
C3H8,JPN,Agricultural Waste Burning,0.00017076382805830985
C3H8,ANZ,Agricultural Waste Burning,0.0011132148214501175
C3H8,EUR,Agricultural Waste Burning,0.0014607759666411524
C3H8,ROE,Agricultural Waste Burning,0.005721602752307743
C3H8,RUS,Agricultural Waste Burning,0.018553087353949994
C3H8,ASI,Agricultural Waste Burning,0.0019656050668888244
C3H8,CHN,Agricultural Waste Burning,0.008714972022433194
C3H8,IND,Agricultural Waste Burning,0.0022651938914812586
C3H8,BRA,Agricultural Waste Burning,0.0034763593330833314
C3H8,AFR,Agricultural Waste Burning,0.021299668254149518
C3H8,MES,Agricultural Waste Burning,0.00011036469210830982
C3H8,LAM,Agricultural Waste Burning,0.0034090466011330836
C3H8,REA,Agricultural Waste Burning,0.0030202979289968793
C3H8,KOR,Agricultural Waste Burning,7.349115857617201e-05
C3H8,IDZ,Agricultural Waste Burning,0.0009959524328109009
CH2O,USA,Agricultural Waste Burning,0.012874255922564056
CH2O,CAN,Agricultural Waste Burning,0.005907300981109222
CH2O,MEX,Agricultural Waste Burning,0.007203848892042719
CH2O,JPN,Agricultural Waste Burning,0.0012685312409059463
CH2O,ANZ,Agricultural Waste Burning,0.008269595470716342
CH2O,EUR,Agricultural Waste Burning,0.010851478160890259
CH2O,ROE,Agricultural Waste Burning,0.04250333305909865
CH2O,RUS,Agricultural Waste Burning,0.13782292897257778
CH2O,ASI,Agricultural Waste Burning,0.014601637055602806
CH2O,CHN,Agricultural Waste Burning,0.06473978973347672
CH2O,IND,Agricultural Waste Burning,0.016827154001414286
CH2O,BRA,Agricultural Waste Burning,0.025824382509226976
CH2O,AFR,Agricultural Waste Burning,0.15822610050534275
CH2O,MES,Agricultural Waste Burning,0.0008198519684895041
CH2O,LAM,Agricultural Waste Burning,0.025324345121725423
CH2O,REA,Agricultural Waste Burning,0.02243649794497653
CH2O,KOR,Agricultural Waste Burning,0.0005459342972756767
CH2O,IDZ,Agricultural Waste Burning,0.007398503524335907
C2H5OH,USA,Agricultural Waste Burning,0.00021663412248283816
C2H5OH,CAN,Agricultural Waste Burning,9.940170384893693e-05
C2H5OH,MEX,Agricultural Waste Burning,0.00012121861633984935
C2H5OH,JPN,Agricultural Waste Burning,2.134547850728873e-05
C2H5OH,ANZ,Agricultural Waste Burning,0.0001391518526812647
C2H5OH,EUR,Agricultural Waste Burning,0.00018259699583014405
C2H5OH,ROE,Agricultural Waste Burning,0.0007152003440384679
C2H5OH,RUS,Agricultural Waste Burning,0.002319135919243749
C2H5OH,ASI,Agricultural Waste Burning,0.00024570063336110305
C2H5OH,CHN,Agricultural Waste Burning,0.0010893715028041492
C2H5OH,IND,Agricultural Waste Burning,0.0002831492364351573
C2H5OH,BRA,Agricultural Waste Burning,0.0004345449166354164
C2H5OH,AFR,Agricultural Waste Burning,0.0026624585317686898
C2H5OH,MES,Agricultural Waste Burning,1.3795586513538728e-05
C2H5OH,LAM,Agricultural Waste Burning,0.00042613082514163545
C2H5OH,REA,Agricultural Waste Burning,0.0003775372411246099
C2H5OH,KOR,Agricultural Waste Burning,9.186394822021502e-06
C2H5OH,IDZ,Agricultural Waste Burning,0.0001244940541013626
HCOOH,USA,Agricultural Waste Burning,0.006189546348089291
HCOOH,CAN,Agricultural Waste Burning,0.0028400486632423833
HCOOH,MEX,Agricultural Waste Burning,0.0034633890214083715
HCOOH,JPN,Agricultural Waste Burning,0.0006098708116961465
HCOOH,ANZ,Agricultural Waste Burning,0.003975767205322061
HCOOH,EUR,Agricultural Waste Burning,0.005217056996220112
HCOOH,ROE,Agricultural Waste Burning,0.020434295480973357
HCOOH,RUS,Agricultural Waste Burning,0.06626102597730375
HCOOH,ASI,Agricultural Waste Burning,0.007020018060245595
HCOOH,CHN,Agricultural Waste Burning,0.03112490001769691
HCOOH,IND,Agricultural Waste Burning,0.008089978170871438
HCOOH,BRA,Agricultural Waste Burning,0.012415568987624451
HCOOH,AFR,Agricultural Waste Burning,0.07607024344408184
HCOOH,MES,Agricultural Waste Burning,0.00039415961412123487
HCOOH,LAM,Agricultural Waste Burning,0.01217516637730421
HCOOH,REA,Agricultural Waste Burning,0.010786778254054948
HCOOH,KOR,Agricultural Waste Burning,0.0002624684203966453
HCOOH,IDZ,Agricultural Waste Burning,0.003556972965052444
MEK,USA,Agricultural Waste Burning,0.005570591564561659
MEK,CAN,Agricultural Waste Burning,0.0025560437298725665
MEK,MEX,Agricultural Waste Burning,0.0031170500380840807
MEK,JPN,Agricultural Waste Burning,0.0005488837138504097
MEK,ANZ,Agricultural Waste Burning,0.003578190389438043
MEK,EUR,Agricultural Waste Burning,0.004695351178037225
MEK,ROE,Agricultural Waste Burning,0.018390865447560512
MEK,RUS,Agricultural Waste Burning,0.059634921768654654
