MODEL,SCENARIO,REGION,VARIABLE,UNIT,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NOx|Forest Burning,Mt NOx/yr,0.650779819,0.40125062,0.011479588,0.444706164,0.005498221,0.007294451,0.047069577,0.042771459,0.055262466,0.022642827
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NOx|Grassland Burning,Mt NOx/yr,0.655774447,0.689005643,0.696339135,0.591537504,0.56927202,0.558411789,0.536947369,0.519564843,0.48721947,0.461293171
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NOx|Industrial Sector,Mt NOx/yr,0.559572214,0.54388751,0.353111225,0.346238147,0.285656947,0.212078492,0.152152041,0.104968194,0.075127959,0.051365933
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NOx|Residential Commercial Other,Mt NOx/yr,0.063195111,0.058035657,0.042788251,0.042898884,0.041193838,0.03896494,0.037324567,0.030347716,0.021720418,0.013880231
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NOx|Transportation Sector,Mt NOx/yr,1.430927505,1.476228181,0.51497115,0.209706212,0.056950357,0.013688796,0.006093032,0.003493562,0.001688683,4.98E-04
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NOx|Waste,Mt NOx/yr,0.285729204,0.285729204,0.285729204,0.285729204,0.285729204,0.285729204,0.285729204,0.285729204,0.285729204,0.285729204
IMAGE,SSP1-19,BRA,CMIP6 Emissions|OC,Mt OC/yr,2.200803527,1.736998157,0.924414497,1.527098863,0.754654234,0.725194677,0.76874076,0.746225107,0.744100807,0.67383784
IMAGE,SSP1-19,BRA,CMIP6 Emissions|OC|Agricultural Waste Burning,Mt OC/yr,0.038468678,0.040040171,0.046514386,0.05799605,0.059337609,0.062371662,0.068857152,0.072812547,0.077435046,0.081415027
IMAGE,SSP1-19,BRA,CMIP6 Emissions|OC|Energy Sector,Mt OC/yr,0.010654928,0.010293351,0.006252235,0.00305923,0.001569338,9.20E-04,4.77E-04,2.92E-04,1.94E-04,8.56E-05
IMAGE,SSP1-19,BRA,CMIP6 Emissions|OC|Forest Burning,Mt OC/yr,1.069764132,0.659582079,0.018870743,0.731026496,0.009038172,0.011990924,0.077376091,0.070308724,0.090843143,0.037221529
IMAGE,SSP1-19,BRA,CMIP6 Emissions|OC|Grassland Burning,Mt OC/yr,0.500932413,0.526315767,0.53191222,0.451862153,0.434860202,0.426561055,0.4101629,0.396888885,0.372173142,0.352374703
IMAGE,SSP1-19,BRA,CMIP6 Emissions|OC|Industrial Sector,Mt OC/yr,0.244967519,0.209500129,0.09372928,0.062237008,0.035149025,0.014152545,0.005674198,0.001312431,1.65E-04,1.13E-05
IMAGE,SSP1-19,BRA,CMIP6 Emissions|OC|Residential Commercial Other,Mt OC/yr,0.101719796,0.057748588,0.022300111,0.017240533,0.012079201,0.00699461,0.004070815,0.002508516,0.001216791,6.71E-04
IMAGE,SSP1-19,BRA,CMIP6 Emissions|OC|Transportation Sector,Mt OC/yr,0.032313575,0.031535585,0.002853037,0.001694906,6.38E-04,2.21E-04,1.41E-04,1.20E-04,9.10E-05,7.61E-05
IMAGE,SSP1-19,BRA,CMIP6 Emissions|OC|Waste,Mt OC/yr,0.201982487,0.201982487,0.201982487,0.201982487,0.201982487,0.201982487,0.201982487,0.201982487,0.201982487,0.201982487
IMAGE,SSP1-19,BRA,CMIP6 Emissions|Sulfur,Mt SO2/yr,1.899466844,1.683428142,0.784723535,0.667800362,0.44015336,0.344334934,0.277954627,0.221925172,0.186347784,0.150857902
IMAGE,SSP1-19,BRA,CMIP6 Emissions|Sulfur|Agricultural Waste Burning,Mt SO2/yr,0.006381519,0.006642212,0.007716211,0.009620889,0.009843439,0.010346754,0.011422624,0.01207878,0.012845601,0.013505833
IMAGE,SSP1-19,BRA,CMIP6 Emissions|Sulfur|Energy Sector,Mt SO2/yr,0.375403726,0.231820937,0.070206376,0.031127468,0.01218345,0.005007745,0.003434491,0.00199814,0.001181184,5.99E-04
IMAGE,SSP1-19,BRA,CMIP6 Emissions|Sulfur|Forest Burning,Mt SO2/yr,0.098854936,0.060950532,0.001743789,0.067551036,8.35E-04,0.001108053,0.007150223,0.006497049,0.008394642,0.003439559
IMAGE,SSP1-19,BRA,CMIP6 Emissions|Sulfur|Grassland Burning,Mt SO2/yr,0.082498561,0.086679031,0.087600373,0.074416422,0.071615585,0.070248872,0.067549489,0.065362376,0.061293088,0.058031222
IMAGE,SSP1-19,BRA,CMIP6 Emissions|Sulfur|Industrial Sector,Mt SO2/yr,0.995855538,1.004153316,0.562577838,0.443564738,0.311320343,0.225544443,0.156478472,0.104531467,0.072446815,0.046468281
IMAGE,SSP1-19,BRA,CMIP6 Emissions|Sulfur|Residential Commercial Other,Mt SO2/yr,0.073518841,0.050172997,0.012179506,0.008834391,0.006989836,0.006467412,0.006641603,0.006267597,0.005069871,0.003743562
IMAGE,SSP1-19,BRA,CMIP6 Emissions|Sulfur|Transportation Sector,Mt SO2/yr,0.24204127,0.218096666,0.017786991,0.007772966,0.002453054,6.99E-04,3.65E-04,2.77E-04,2.04E-04,1.58E-04
IMAGE,SSP1-19,BRA,CMIP6 Emissions|Sulfur|Waste,Mt SO2/yr,0.024912451,0.024912451,0.024912451,0.024912451,0.024912451,0.024912451,0.024912451,0.024912451,0.024912451,0.024912451
IMAGE,SSP1-19,BRA,CMIP6 Emissions|VOC,Mt VOC/yr,11.24031679,8.559191243,3.944704191,6.204549067,3.241902339,3.097241931,3.300061594,3.291669438,3.352744168,3.145629423
IMAGE,SSP1-19,BRA,CMIP6 Emissions|VOC|Agricultural Waste Burning,Mt VOC/yr,0.229981799,0.239376844,0.278082381,0.346724552,0.354744937,0.372883793,0.41165677,0.435303777,0.462939041,0.486732974
IMAGE,SSP1-19,BRA,CMIP6 Emissions|VOC|Energy Sector,Mt VOC/yr,2.315192061,1.381568103,0.153048591,0.124064063,0.130997295,0.134735862,0.189270226,0.281433137,0.372813863,0.45661977
IMAGE,SSP1-19,BRA,CMIP6 Emissions|VOC|Forest Burning,Mt VOC/yr,4.056049513,2.500848972,0.071548326,2.771667096,0.034267507,0.045463176,0.293366821,0.266572635,0.344425533,0.141125828
IMAGE,SSP1-19,BRA,CMIP6 Emissions|VOC|Grassland Burning,Mt VOC/yr,2.190304391,2.301315361,2.325799381,1.975733562,1.901386942,1.865094809,1.793389584,1.735339201,1.627338934,1.540708601
IMAGE,SSP1-19,BRA,CMIP6 Emissions|VOC|Industrial Sector,Mt VOC/yr,0.855307807,0.7378557,0.309780296,0.298956841,0.249287662,0.166785201,0.123890525,0.093544591,0.072375484,0.053106594
IMAGE,SSP1-19,BRA,CMIP6 Emissions|VOC|Residential Commercial Other,Mt VOC/yr,0.268440768,0.154983332,0.070558501,0.051254923,0.027288321,0.013189658,0.007494761,0.00551968,0.003664457,0.002182239
IMAGE,SSP1-19,BRA,CMIP6 Emissions|VOC|Solvents,Mt VOC/yr,0.067539935,0.08775462,0.090026539,0.091998063,0.069480479,0.039669464,0.022826245,0.016833606,0.012505085,0.008608551
IMAGE,SSP1-19,BRA,CMIP6 Emissions|VOC|Transportation Sector,Mt VOC/yr,0.800981934,0.698969726,0.189341591,0.087631381,0.017930611,0.002901384,0.001648076,6.04E-04,1.63E-04,2.63E-05
IMAGE,SSP1-19,BRA,CMIP6 Emissions|VOC|Waste,Mt VOC/yr,0.456518585,0.456518585,0.456518585,0.456518585,0.456518585,0.456518585,0.456518585,0.456518585,0.456518585,0.456518585
IMAGE,SSP1-19,CAN,CMIP6 Emissions|BC,Mt BC/yr,0.087345989,0.074377716,0.053935593,0.045731764,0.038229577,0.031512158,0.025673827,0.019542158,0.013093432,0.006716514
IMAGE,SSP1-19,CAN,CMIP6 Emissions|BC|Agricultural Waste Burning,Mt BC/yr,0.001056395,0.001089778,0.001090863,0.001074159,0.001053281,9.71E-04,9.03E-04,8.35E-04,7.57E-04,6.92E-04
IMAGE,SSP1-19,CAN,CMIP6 Emissions|BC|Energy Sector,Mt BC/yr,0.001583536,0.001340955,6.92E-04,4.40E-04,2.79E-04,1.19E-04,1.04E-04,8.47E-05,7.98E-05,5.45E-05
IMAGE,SSP1-19,CAN,CMIP6 Emissions|BC|Forest Burning,Mt BC/yr,0.046849393,0.044093546,0.038581853,0.03307016,0.027558466,0.022046773,0.01653508,0.011023387,0.005511693,0
IMAGE,SSP1-19,CAN,CMIP6 Emissions|BC|Grassland Burning,Mt BC/yr,5.26E-05,5.26E-05,5.26E-05,5.26E-05,5.26E-05,5.26E-05,5.26E-05,5.26E-05,5.26E-05,5.26E-05
IMAGE,SSP1-19,CAN,CMIP6 Emissions|BC|Industrial Sector,Mt BC/yr,0.009706377,0.004152734,8.42E-05,6.14E-05,6.96E-05,7.25E-05,1.02E-04,1.21E-04,1.02E-04,4.69E-05
IMAGE,SSP1-19,CAN,CMIP6 Emissions|BC|Peat Burning,Mt BC/yr,0.005026491,0.005026491,0.005026491,0.005026491,0.005026491,0.005026491,0.005026491,0.005026491,0.005026491,0.005026491
IMAGE,SSP1-19,CAN,CMIP6 Emissions|BC|Residential Commercial Other,Mt BC/yr,0.010460753,0.009436878,0.006588083,0.005439124,0.004026828,0.003116799,0.002855866,0.002306017,0.001473357,7.57E-04
IMAGE,SSP1-19,CAN,CMIP6 Emissions|BC|Transportation Sector,Mt BC/yr,0.012529803,0.009104092,0.001738609,4.88E-04,8.28E-05,2.57E-05,1.37E-05,1.15E-05,9.11E-06,5.61E-06
IMAGE,SSP1-19,CAN,CMIP6 Emissions|BC|Waste,Mt BC/yr,8.06E-05,8.06E-05,8.06E-05,8.06E-05,8.06E-05,8.06E-05,8.06E-05,8.06E-05,8.06E-05,8.06E-05
