CEDS,Fuel,CEDSFuel,GAINS,Item,Element,Units
Residential,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,DOM-MD-[PJ],,,
Residential,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,DOM_LIGHT-GSL-[PJ],,,
Residential,solid-biofuel,solid-biofuel,DOM-OS1-[PJ],,,
Residential,total-coal,total-coal,DOM-BC1-[PJ],,,
Residential,total-coal,total-coal,DOM-BC2-[PJ],,,
Residential,total-coal,total-coal,DOM-DC-[PJ],,,
Residential,total-coal,total-coal,DOM-HC1-[PJ],,,
Residential,total-coal,total-coal,DOM-HC2-[PJ],,,
Residential,total-coal,total-coal,DOM-HC3-[PJ],,,
Shipping,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OTS_L-HF-[PJ],,,
Shipping,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OTS_L-MD-[PJ],,,
Shipping,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OTS_M-MD-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_HDB-GAS-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_HDB-GSL-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_HDB-LPG-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_HDB-MD-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_HDT-GAS-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_HDT-GSL-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_HDT-LPG-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_HDT-MD-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_LD2-GAS-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_LD2-GSL-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_LD4C-GAS-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_LD4C-GSL-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_LD4C-LPG-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_LD4C-MD-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_LD4T-GAS-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_LD4T-GSL-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_LD4T-LPG-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_LD4T-MD-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_M4-GSL-[PJ],,,
Transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_RD_OTH-GSL-[PJ],,,
Waste,process,process,WT_NH3_EMISS-NOF-[kt NH3],,,
Commercial,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,DOM-GAS-[PJ],,,
Commercial,solid-biofuel,solid-biofuel,DOM-OS1-[PJ],,,
Commercial,total-coal,total-coal,DOM-BC1-[PJ],,,
Solvents,process,process,IO_NH3_EMISS-NOF-[kt NH3],,,
